species,body_mass_kg,trophic_guild,probability_extinction
Procyon lotor,6,omnivore,0.21
Dorcopsis hageni,5,herbivore,0.24
Cercopithecus hamlyni,5,herbivore,0.39
Felis bieti,5,carnivore,0.48
Cercopithecus neglectus,5,herbivore,0.18
Thylogale browni,5,herbivore,0.52
Cercopithecus nictitans,5,herbivore,0.28
Thylogale billardierii,5,herbivore,0.26
Thylogale thetis,5,herbivore,0.24
Marmota baibacina,5,herbivore,0.23
Dorcopsis muelleri,5,herbivore,0.24
Cabassous tatouay,5,insectivore,0.21
Petrogale purpureicollis,5,herbivore,0.38
Macropus eugenii,5,herbivore,0.24
Spilocuscus papuensis,5,herbivore,0.51
Marmota vancouverensis,5,herbivore,0.87
Onychogalea fraenata,5,herbivore,0.55
Capromys pilorides,5,herbivore,0.25
Alouatta guariba,5,herbivore,0.18
Petrogale herberti,5,herbivore,0.24
Macrogalidia musschenbroekii,5,carnivore,0.51
Prionailurus planiceps,5,carnivore,0.69
Chlorocebus djamdjamensis,5,herbivore,0.40
Chlorocebus sabaeus,5,herbivore,0.18
Felis silvestris,5,carnivore,0.21
Leopardus colocolo,5,carnivore,0.35
Vulpes ferrilata,5,carnivore,0.26
Dasyprocta mexicana,5,herbivore,0.89
Macaca radiata,5,herbivore,0.18
Chlorocebus cynosuros,5,herbivore,0.17
Chlorocebus pygerythrus,5,herbivore,0.17
Chlorocebus tantalus,5,herbivore,0.17
Tragulus napu,5,herbivore,0.24
Dorcopsis luctuosa,5,herbivore,0.51
Ailurus fulgens,5,herbivore,0.68
Philantomba monticola,5,herbivore,0.24
Manis javanica,5,insectivore,0.87
Madoqua kirkii,5,herbivore,0.23
Vulpes vulpes,5,carnivore,0.23
Lepus othus,5,herbivore,0.25
Peroryctes broadbenti,5,insectivore,0.74
Tamandua tetradactyla,5,insectivore,0.24
Euphractus sexcinctus,5,omnivore,0.22
Choloepus hoffmanni,5,herbivore,0.16
Petrogale godmani,5,herbivore,0.38
Allenopithecus nigroviridis,5,omnivore,0.16
Manis pentadactyla,5,insectivore,0.89
Lagostomus maximus,5,herbivore,0.26
Petrogale lateralis,5,herbivore,0.51
Madoqua guentheri,5,herbivore,0.23
Petrogale assimilis,5,herbivore,0.24
Hystrix crassispinis,5,herbivore,0.23
Macaca fascicularis,5,omnivore,0.16
Petrogale inornata,5,herbivore,0.24
Petrogale rothschildi,5,herbivore,0.24
Manis culionensis,5,insectivore,0.88
Thylogale calabyi,5,herbivore,0.73
Macaca pagensis,5,herbivore,0.71
Thylogale stigmatica,5,herbivore,0.25
Vulpes macrotis,4,carnivore,0.23
Coendou bicolor,4,herbivore,0.21
Dasypus pilosus,4,insectivore,0.39
Papagomys armandvillei,4,herbivore,0.40
Lepus arcticus,4,herbivore,0.26
Petrogale sharmani,4,herbivore,0.50
Petrogale coenensis,4,herbivore,0.38
Petrogale mareeba,4,herbivore,0.37
Chaetophractus villosus,4,omnivore,0.22
