CURRENT_TAXONOMIC_NAME,Ecoregion,meanLat,Realm,TrophicGrp,TrophicGrp,Lmax,meanN
Chaetodon rafflesii,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Corallivore,Benthic carnivore,18,1.666666667
Chaetodon speculum,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Corallivore,Benthic carnivore,18,2
Chaetodon trifascialis,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Corallivore,Benthic carnivore,18,2.611111111
Chaetodon vagabundus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Corallivore,Benthic carnivore,23,2
Chaetodontoplus duboulayi,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,28,1.763636364
Cheilinus chlorourus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,45,1.28125
Cheilinus fasciatus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,40,1.166666667
Cheilinus trilobatus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,45,1.527027027
Cheiloprion labiatus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Corallivore,Benthic carnivore,6,2.272727273
Chelmon marginalis,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Corallivore,Benthic carnivore,18,2.047619048
Choerodon cephalotes,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,38,1.666666667
Choerodon cyanodus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,70,2.425
Choerodon monostigma,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,46.91818182,1
Choerodon schoenleinii,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,100,2
Choerodon vitta,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,20,2.289473684
Cirrhilabrus temminckii,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,9.9,2.2
Coradion altivelis,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,18,1.4
Coradion chrysozonus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,15,2
Coris batuensis,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,17,1.5
Coris pictoides,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,15,5.588235294
Cryptocentrus fasciatus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,14,1.727272727
Cryptocentrus strigilliceps,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,10,1.541666667
Ctenogobiops mitodes,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,7.6,1
Ctenogobiops pomastictus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,8,3.38
Diademichthys lineatus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,5,2.032608696
Diagramma labiosum,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,90,2.375
Diodon hystrix,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,91,1
Diproctacanthus xanthurus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,10,4.585365854
Enneapterygius flavoccipitis,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,3.2,5.673076923
Enneapterygius tutuilae,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,4,1.764705882
Epibulus insidiator,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,54,1.090909091
Epinephelus fasciatus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,40,1.885106383
Eviota melasma,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,3,2
Eviota sebreei,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,2.5,1
Eviota sigillata,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,3,5.35483871
Glaucosoma magnificum,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,32,16.18181818
Gnathanodon speciosus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,120,73.66666667
Gobiodon citrinus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,6.6,3.677419355
Gobiodon histrio,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,3.5,2.310344828
Gobiodon quinquestrigatus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,4.5,1.333333333
Gomphosus varius,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,30,1
Gymnothorax favagineus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,300,1
Gymnothorax javanicus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,300,1
Gymnothorax thrysoideus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,66,1.1
Halichoeres biocellatus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,12,1.5
Halichoeres erdmanni,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,18,9.119496855
Halichoeres hartzfeldii,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,18,1
Halichoeres hortulanus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,27,3.047619048
Halichoeres melanochir,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,18,4.555183946
Halichoeres melanurus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,12,9.799595142
Halichoeres nebulosus,Arnhem Coast to Gulf of Carpenteria,-12.78161184,Central Indo-Pacific,Benthic invertivore,Benthic carnivore,12,19.94980695
