"Order","Genus_species","lnMass_g","Recoded_Diet","FAD","LAD","FAD_interval","LAD_interval","sources"
"Artiodactyla","Agriochoerus antiquus",10.82352844,"herbivore",38.35,33.4,"Eocene","Oligocene","lyons"
"Artiodactyla","Agriochoerus gaudryi",10.67613883,"herbivore",32.55,32.55,"Oligocene","Oligocene","lyons"
"Artiodactyla","Agriochoerus guyotianus",10.11100373,"herbivore",32.7,25.615,"Oligocene","Oligocene","lyons"
"Artiodactyla","Agriochoerus maximus",10.67613883,"herbivore",39.35,35.9,"Eocene","Eocene","lyons"
"Artiodactyla","Aguascalientia wilsoni",9.902045024,"herbivore",18,18,"Miocene","Miocene","lyons"
"Artiodactyla","Albanohyus pygmaeus",9.104421458,"omnivore",16.435,11.925,"Miocene","Miocene","lyons"
"Artiodactyla","Alcelaphus buselaphus",12.049427794509,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Alces alces",12.7798730684576,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Artiodactyla","Alces alces",13.0705337125391,"herbivore",2.58,0,"Pleistocene","Holocene","lyons, mom"
"Artiodactyla","Aletomeryx gracilis",10.13845101,"herbivore",19.55,17.375,"Miocene","Miocene","lyons"
