taxon_no,Order,Family,taxon_name,ln_mass_g,mass_source,m1_length_mm,m1_width_mm,m1_source,eq_type,mass_eq,eq_source,ln_mass_g_estimate,n_occs,firstapp_max_ma,firstapp_min_ma,lastapp_max_ma,lastapp_min_ma,early_interval,late_interval,life_habit,life_habit_basis,diet,diet_basis
51673,,Spalacotheriidae,Spalacolestes cretulablatta,1.408,Body size downgrading of mammals over the late Quaternary,1.00,0.80,"Spalacotheriid symmetrodonts (Mammalia) from the medial Cretaceous (upper Albian or lower Cenomanian) Mussentuchit local fauna, Cedar Mountain Formation, Utah, USA","Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),"New species of Batodonoides (Lipotyphla, Geolabididae) from the Early Eocene of Wyoming: smallest known mammal?",1.362722298,6,105.3,93.5,105.3,93.5,Albian,Turonian,,Mammalia,insectivore,Mammaliaformes
249188,,Spalacotheriidae,Infernolestes rougieri,,,1.25,0.71,Earliest Cretaceous mammals from the western United States,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),"New species of Batodonoides (Lipotyphla, Geolabididae) from the Early Eocene of Wyoming: smallest known mammal?",1.531703479,1,145,136.4,145,136.4,Berriasian,Valanginian,,Mammalia,insectivore,Mammaliaformes
371282,,Spalacotheriidae,Lactodens sheni,,,1.40,0.80,"A new spalacolestine mammal from the Early Cretaceous Jehol Biota and implications for the morphology, phylogeny, and palaeobiology of Laurasian ‘symmetrodontans’","Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),"New species of Batodonoides (Lipotyphla, Geolabididae) from the Early Eocene of Wyoming: smallest known mammal?",1.9104991,1,125,113,125,113,Aptian,,,Mammalia,insectivore,Mammaliaformes
66821,,Spalacotheriidae,Spalacotherium tricuspidens,,,1.60,,An Upper Cretaceous symmetrodont (Mammalia) from southern Utah,"Carnivores, m1_length",ln(m) = 1.681 + 2.97 * ln(m1_length),Skeletal and dental predictors of body mass in predators,3.048710561,3,145,140.2,140.2,136.4,Berriasian,Valanginian,,Mammalia,insectivore,Mammaliaformes
216665,,Spalacotheriidae,Heishanlestes changi,,,1.62,1.13,A New Spalacotheriid Symmetrodont from the Early Cretaceous of Northeastern China,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),"New species of Batodonoides (Lipotyphla, Geolabididae) from the Early Eocene of Wyoming: smallest known mammal?",2.710360077,1,125,100.5,125,100.5,Aptian,Albian,,Mammalia,insectivore,Mammaliaformes
51937,,Spalacotheriidae,Symmetrodontoides canadensis,2.463,Body size downgrading of mammals over the late Quaternary,1.80,0.60,An Upper Cretaceous symmetrodont (Mammalia) from southern Utah,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),"New species of Batodonoides (Lipotyphla, Geolabididae) from the Early Eocene of Wyoming: smallest known mammal?",1.851292575,2,86.3,83.6,85.8,83.5,Santonian,Campanian,,Mammalia,insectivore,Mammaliaformes
137605,,Spalacotheriidae,Akidolestes cifelli,,,,,,,,,,1,129.4,125,129.4,125,Barremian,,ground dwelling,Akidolestes,insectivore,Mammaliaformes
212347,,Spalacotheriidae,Shalbaatar bakht,,,,,,,,,,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,,Mammalia,insectivore,Mammaliaformes
51674,,Spalacotheriidae,Spalacolestes inconcinnus,,,,,,,,,,1,105.3,93.5,105.3,93.5,Albian,Turonian,,Mammalia,insectivore,Mammaliaformes
51675,,Spalacotheriidae,Spalacotheridium mckennai,,,,,,,,,,2,93.9,89.8,86.3,83.6,Turonian,Santonian,,Mammalia,insectivore,Mammaliaformes
